source_sheet,source_row,job_title,institution,persona_applied,why_flagged
Relevant - In CRM unknown,744,Acting Head of Research Finance,Cardiff University,Finance,Research/Finance hybrid - confirm
Relevant - In CRM valid,3204,Associate Professor In Accounting/Departmental Research Director,University Of Nottingham,Finance,Research/Finance hybrid - confirm
Relevant - In CRM valid,1706,Finance Post Award Analyst,Liverpool School Of Tropical Medicine,Finance,Research/Finance hybrid - confirm
Relevant - In CRM unknown,705,Head of Finance - Research & Innovation,Sheffield Hallam University,Finance,Research/Finance hybrid - confirm
Relevant - In CRM valid,1770,Head of Financial Planning and Analysis (FP&A) & Research,Middlesex University,Finance,Research/Finance hybrid - confirm
Relevant - In CRM unknown,695,Head of Research & Enterprise Finance,Aston University,Finance,Research/Finance hybrid - confirm
Relevant - In CRM unknown,694,"Head of Research Accounting, Monitoring and Claims",Cranfield University,Finance,Research/Finance hybrid - confirm
Relevant - In CRM unknown,691,"Head of Spatial Finance Initiative / Head of Innovation and Impact, CGFI",University of Oxford,Finance,Research/Finance hybrid - confirm
Relevant - In CRM unknown,688,"Head of Transition Finance Research, Oxford Sustainable Finance Group",University of Oxford,Finance,Research/Finance hybrid - confirm
Relevant - In CRM unknown,684,"Interim Head of Research, Finance and Governance",University of Liverpool,Finance,Research/Finance hybrid - confirm
Relevant - In CRM valid,3066,Laboratory And Finance Manager,The University of Edinburgh,Finance,Research/Finance hybrid - confirm
Relevant - In CRM valid,1393,Post Award Finance And Project Officer,Durham University,Finance,Research/Finance hybrid - confirm
Relevant - In CRM valid,1395,Post Award Finance And Project Officer,Durham University,Finance,Research/Finance hybrid - confirm
Relevant - In CRM valid,3183,Post Award Finance Coordinator,University Of Nottingham,Finance,Research/Finance hybrid - confirm
Relevant - In CRM valid,3518,Post Award Finance Manager,University of Leicester,Finance,Research/Finance hybrid - confirm
Relevant - In CRM valid,1679,Project Accountant (Research/Grants Accounting),Institute of Development Studies,Finance,Research/Finance hybrid - confirm
Relevant - In CRM unknown,666,Research Costing Bid Management Accountant,Cranfield University,Finance,Research/Finance hybrid - confirm
